,Country/Region,Population,confirmed per,mortality rate,recover rate
57,Gambia,2422754.0,0.0014945342733471449,0.03223472008327287,0.6743506273230166
58,Georgia,3988368.0,0.002832041131164984,0.00702928317645117,0.522183854853138
59,Germany,83811260.0,0.00022867101487739148,0.027386523758334246,0.7945191139207961
60,Ghana,31133483.0,0.0015088846093234522,0.00651486532132461,0.9853260152551968
61,Greece,10417673.0,0.0021054605956627743,0.02023260478879448,0.061892717182434026
62,Grenada,112576.0,0.00021861774366748789,0.0,0.9765432098765435
63,Guatemala,17946899.0,0.005400264413367457,0.03480368799417446,0.8837463014613993
64,Guinea,13164905.0,0.000836702665998054,0.006208991772575131,0.9309309843154998
65,Guinea-Bissau,1972277.0,0.0012063890281807945,0.016880559493181173,0.7181696343541473
66,Guyana,786936.0,0.004278055083965602,0.02912710400554059,0.6568053432486503
67,Haiti,11416103.0,0.0007766952815101032,0.02592722430863436,0.7973501286025602
68,Honduras,9919704.0,0.008350131549624195,0.030024178302440516,0.38159914153511115
69,Hong Kong,7503041.0,0.0006887133422894057,0.020321109018298082,0.9488615042863248
70,Hungary,9657785.0,0.0037505494272237374,0.025999705578982384,0.2723166073846283
71,Iceland,341465.0,0.00993366816511209,0.003035129777215149,0.7304710558988695
72,India,1381344997.0,0.0001367301404831423,0.01116742965518295,0.8048157240113264
73,Indonesia,273808365.0,0.00119216692951575,0.035909551312301245,0.7665303701681476
74,Iran,84097623.0,0.005882579397570422,0.05715397210147826,0.8165112448955358
75,Iraq,40306025.0,0.009877199914074052,0.024506129326753813,0.8268658263948541
76,Ireland,4943200.0,0.008504904605204006,0.043734066431502176,0.5607469108253534
77,Israel,9197590.0,0.030957173443139877,0.006725145413428537,0.7921464838496465
78,Italy,60452568.0,0.00027795734748167273,0.07133310036052998,0.6430907365557624
79,Jamaica,2962478.0,0.0025233005012095357,0.018325116638114407,0.39580976743965335
80,Japan,126435859.0,1.4291436999519939e-05,0.017685782677361133,0.9157509161032621
81,Jordan,10213138.0,0.002355038513465042,0.007337535441232931,0.26291806544337926
82,Kazakhstan,18798667.0,0.005783164188065983,0.01607370294564473,0.9563809333424993
83,Kenya,53881160.0,0.0007636023013939896,0.018618196621640694,0.7230986536832863
84,Kuwait,4276658.0,0.02584231009873182,0.005906763742945357,0.9265136875271478
85,Kyrgyzstan,6534479.0,0.007497800853323153,0.022097427509912563,0.902999602928372
86,Laos,7285750.0,3.156847270356517e-06,0.0,0.9565217391304349
87,Latvia,1883936.0,0.0013650793987811808,0.01603704152383297,0.5311064578294425
88,Lebanon,6822220.0,0.007566696275796832,0.008782289216373786,0.4406994414771234
89,Lesotho,2143943.0,0.0008239750569653928,0.02308598118323884,0.5317401578631413
90,Liberia,5068618.0,0.0002686684571174584,0.06021956691669753,0.9141872048583297
91,Libya,6880353.0,0.006064611316696493,0.015192162718922141,0.5653972401414196
92,Liechtenstein,38139.0,0.003986878406763563,0.006831988471699404,0.8238385418473692
93,Lithuania,2718121.0,0.0021934678813456472,0.01733569858113094,0.4615502542011124
94,Luxembourg,626952.0,0.014936727390790862,0.01378922309252183,0.8473766438542119
95,Madagascar,27755708.0,0.0006003750051460886,0.014125489915546987,0.9531505881420633
96,Malawi,19174839.0,0.0003032185389753033,0.030978015543768285,0.796452166272555
97,Malaysia,32406372.0,0.0004723505200355864,0.010212255040033796,0.7346351397260695
98,Maldives,541448.0,0.019961596804617746,0.00320280355953687,0.8935947712965198
99,Mali,20302901.0,0.0001607186852536766,0.0403218234652004,0.772098113196772
100,Malta,441663.0,0.008400069736428,0.011212479614759702,0.7937032289785972
101,Mauritania,4660728.0,0.0016201808434695658,0.02151981074320586,0.9605695632904543
102,Mauritius,1271985.0,0.0003134645630429779,0.02510214891744222,0.898180325018742
103,Mexico,129066160.0,0.0001950660985936722,0.10843053444874987,0.8386963734666976
104,Moldova,4032983.0,0.015078306939442974,0.02384124889878634,0.7173275675543292
105,Monaco,39270.0,0.0060054324760207105,0.008510087861503516,0.8707354409401846
106,Mongolia,3283344.0,9.653098927326667e-05,0.0,0.9758580680887788
107,Montenegro,628074.0,0.02141564705928141,0.014853769554173295,0.6881484154421998
108,Morocco,36953359.0,0.0040126452976094054,0.01724954545446876,0.8346372092345795
109,Mozambique,31333962.0,0.00031379866853593414,0.007055053175611796,0.7163041835451546
110,Namibia,2545264.0,0.004659219807628775,0.010723311553662873,0.8283439420304227
111,Nepal,29186486.0,0.003569424028793478,0.005950306312166268,0.713190930479605
112,Netherlands,17138756.0,0.000599171582555674,0.03276593230230768,0.16651337793743368
113,New Zealand,5002100.0,0.00037344315387537224,0.013383820133714721,0.964458592026388
114,Nicaragua,6632263.0,0.000794232007318702,0.028984767311679847,0.7317348894162802
